Alzheimer,Cancer,Chronic liver-cirrhosis,CLRD,Diabetes,Heart,Hypertension,Homicide,Influenza-pneumonia,Kidney,Parkinson,Pneumonitis,Septicemia,Stroke,Suicide,Unintentional,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM10 2nd Max 24-hr,PM10_Mean_24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,SO2 2nd Max 24-hr,SO2 99th Percentile 1-hr,SO2 Mean 1-hr,Precipitation
0.016427105,0.172757475,-0.424528302,0.122270742,0.345070423,0.663622527,0.730769231,0.121212121,0.570552147,0.160583942,0.8,-0.428571429,0.538461538,-0.087591241,-0.042253521,0.121372032,0.021141649,0,1,1,-0.931358951,-0.791715832,0.011166253,0,-0.070405522,-0.172477064,-0.471698113,-0.935897436,-0.75,-0.43
-1,1,-0.205882353,0.228571429,0.172413793,-0.025,0.5,0.2,0.518518519,0.333333333,0.4,-0.157894737,-0.636363636,0.03125,0.073170732,-0.306122449,-0.38961039,-0.475,0,0,-0.25,0.05,0.033333333,-0.161538461,-0.111578947,0.188470067,-0.275862069,-0.272727273,-0.125,-0.13
0.486899563,0.643734644,0.588235294,0.30617284,0.142450142,0.093220339,-0.06504065,-0.057471264,0.320689655,-0.281690141,-0.075471698,0.362068966,0.424528302,-0.006968641,0.058823529,0.842105263,-0.16,0.041666667,-0.027829314,-0.1875,-0.107692311,-0.540540541,0.132762313,-0.180555556,0.263285024,0.237789058,-0.048076923,-0.576687117,-0.64,-0.1
-0.047272727,0.701421801,0.206349206,0.779220779,0.021978022,-0.055147059,0.166666667,-0.838709677,0.37037037,0.778761062,-0.820512821,-0.206349206,0.196969697,-0.169811321,0.5,-1,-0.208333333,-0.1,-0.458333333,-0.2,-0.571428571,-0.477707006,1,0,0.059976932,-0.119132225,-0.476190476,-0.131578947,0,-0.54
0.099958695,0.029118774,0.351941748,0.68574514,0.255520505,0.240103493,0.394495413,-0.458015267,0.186503719,0.218323587,0.549019608,0.342342342,-0.04964539,0.116941529,0.332493703,0.32,0.931109896,0.366666666,-0.002599525,0.027195027,-0.234567889,-0.444711563,-0.050721049,0.168032787,0.566774059,0.480701895,0.154749568,0.13964063,-0.260162601,0.58
-0.024193548,0.2,0.64556962,0.311827957,-0.118421053,0.326576577,-0.146341463,-0.4375,0.405,0.34375,-0.254237288,0.68,0.235294118,0.068571429,-0.323741007,0.084821429,0.260991581,0.375,0.073099415,-0.035714286,-0.130434795,-0.004310293,0.026033741,-0.386842105,-0.127413127,0.033246021,0.228070175,0.486111111,0.5,-0.24
-0.181818182,-0.285714286,0.051282051,-0.245283019,0.242647059,-0.368522073,1,-0.675324675,0.294871795,-0.059701493,0.70212766,-0.010204082,0.271929825,0.388601036,-0.775510204,1,-0.221052632,-0.053571429,0.442622951,0.771428571,0.138157895,-0.127272733,-0.011904762,-0.06122449,0.177777778,-0.133333333,-0.06097561,-0.241935484,0,-0.15
-0.276315789,-0.169491525,0.214285714,0.666666667,-0.547619048,0.43030303,0.928571429,-0.5,0.391891892,1,0.454545455,0.304347826,0.923076923,0.076923077,-0.088235294,0.88372093,-0.142857143,-0.4,0,0,-0.750000019,-1,0,0,0.263157895,-0.06779661,-0.0125,-0.101123596,0,-0.43
0.026315789,0.079545455,-0.078947368,0.333333333,-0.822222222,0.311111111,-0.52173913,0.205128205,0.233333333,0.37037037,0.928571429,0,0.1,-0.444444444,0.055555556,0.328358209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93
0.579948142,0.671165644,0.216802168,0.94411415,0.380208333,0.258898098,1,-0.231481481,0.931034483,0.719471947,0.632183908,0.015873016,0.126436782,0.145520144,-0.324561404,-0.029668412,-0.723809524,-0.727272727,-0.728981545,-0.294642857,-0.638414143,-0.257800525,-0.141167077,-0.597476398,-0.156334645,-0.128555128,-1,-0.400594574,-0.335042734,-0.07
